county,originState,inboundFromState,population,nonMovers,domesticMovers,withinSameCounty,differentCounty,differentState,differentCountry
Beaverhead,Alaska,17,9397,7358,1937,891,440,606,102
Beaverhead,Arizona,55,9397,7358,1937,891,440,606,102
Beaverhead,California,12,9397,7358,1937,891,440,606,102
Beaverhead,Colorado,17,9397,7358,1937,891,440,606,102
Beaverhead,Hawaii,5,9397,7358,1937,891,440,606,102
Beaverhead,Idaho,45,9397,7358,1937,891,440,606,102
Beaverhead,Illinois,52,9397,7358,1937,891,440,606,102
Beaverhead,Indiana,24,9397,7358,1937,891,440,606,102
Beaverhead,Kentucky,9,9397,7358,1937,891,440,606,102
Beaverhead,Missouri,11,9397,7358,1937,891,440,606,102
Beaverhead,Montana,440,9397,7358,1937,891,440,606,102
Beaverhead,Nevada,116,9397,7358,1937,891,440,606,102
Beaverhead,New York,2,9397,7358,1937,891,440,606,102
Beaverhead,North Dakota,6,9397,7358,1937,891,440,606,102
Beaverhead,Oregon,58,9397,7358,1937,891,440,606,102
Beaverhead,Pennsylvania,15,9397,7358,1937,891,440,606,102
Beaverhead,South Dakota,13,9397,7358,1937,891,440,606,102
Beaverhead,Texas,41,9397,7358,1937,891,440,606,102
Beaverhead,Utah,7,9397,7358,1937,891,440,606,102
Beaverhead,Virginia,5,9397,7358,1937,891,440,606,102
Beaverhead,Washington,74,9397,7358,1937,891,440,606,102
Beaverhead,Wyoming,22,9397,7358,1937,891,440,606,102
Beaverhead,Asia,58,9397,7358,1937,891,440,606,102
Beaverhead,Central America,44,9397,7358,1937,891,440,606,102
Big Horn,Arkansas,15,12964,12122,807,454,103,250,35
Big Horn,California,48,12964,12122,807,454,103,250,35
Big Horn,Florida,2,12964,12122,807,454,103,250,35
Big Horn,Hawaii,63,12964,12122,807,454,103,250,35
Big Horn,Montana,103,12964,12122,807,454,103,250,35
Big Horn,North Carolina,4,12964,12122,807,454,103,250,35
Big Horn,North Dakota,11,12964,12122,807,454,103,250,35
Big Horn,Oregon,1,12964,12122,807,454,103,250,35
Big Horn,South Dakota,4,12964,12122,807,454,103,250,35
Big Horn,Texas,1,12964,12122,807,454,103,250,35
Big Horn,Washington,9,12964,12122,807,454,103,250,35
Big Horn,Wisconsin,16,12964,12122,807,454,103,250,35
Big Horn,Wyoming,76,12964,12122,807,454,103,250,35
Big Horn,Oceania and At Sea,35,12964,12122,807,454,103,250,35
Blaine,California,1,6906,6270,636,385,197,54,
Blaine,Montana,197,6906,6270,636,385,197,54,
Blaine,North Dakota,25,6906,6270,636,385,197,54,
Blaine,Oklahoma,22,6906,6270,636,385,197,54,
Blaine,Washington,6,6906,6270,636,385,197,54,
Broadwater,California,174,6872,5850,1007,224,431,352,15
Broadwater,Florida,28,6872,5850,1007,224,431,352,15
Broadwater,Montana,431,6872,5850,1007,224,431,352,15
Broadwater,Nevada,12,6872,5850,1007,224,431,352,15
Broadwater,Oregon,38,6872,5850,1007,224,431,352,15
Broadwater,Texas,12,6872,5850,1007,224,431,352,15
Broadwater,Washington,36,6872,5850,1007,224,431,352,15
Broadwater,Wisconsin,21,6872,5850,1007,224,431,352,15
Broadwater,Wyoming,31,6872,5850,1007,224,431,352,15
Broadwater,Europe,15,6872,5850,1007,224,431,352,15
