originState,inboundFromState,pctOfTotal
Colorado,1430,15.79
California,941,10.39
Nebraska,754,8.33
Minnesota,692,7.64
Florida,558,6.16
Washington,544,6.01
Europe,319,3.52
North Dakota,301,3.32
Wisconsin,257,2.84
Idaho,253,2.79
Oregon,250,2.76
Wyoming,223,2.46
Texas,189,2.09
Massachusetts,184,2.03
Arizona,181,2.0
Utah,150,1.66
Michigan,130,1.44
Tennessee,121,1.34
Central America,120,1.33
Missouri,115,1.27
Oceania and At Sea,112,1.24
Asia,105,1.16
North Carolina,104,1.15
Alaska,103,1.14
Illinois,87,0.96
South Carolina,81,0.89
Nevada,79,0.87
Pennsylvania,68,0.75
Georgia,63,0.7
New York,55,0.61
Ohio,53,0.59
South America,52,0.57
New Mexico,49,0.54
Alabama,47,0.52
Louisiana,45,0.5
Kansas,39,0.43
New Jersey,31,0.34
Indiana,30,0.33
Mississippi,25,0.28
South Dakota,21,0.23
Africa,18,0.2
New Hampshire,17,0.19
Vermont,15,0.17
Hawaii,15,0.17
Virginia,10,0.11
Maryland,6,0.07
Iowa,5,0.06
Northern America,5,0.06
Oklahoma,2,0.02
