originState,inboundFromState,pctOfTotal
North Dakota,455,11.42
Texas,384,9.64
Washington,306,7.68
Florida,267,6.7
California,261,6.55
Alaska,233,5.85
New York,220,5.52
Louisiana,186,4.67
Idaho,163,4.09
Colorado,150,3.77
New Mexico,138,3.46
Georgia,135,3.39
Europe,132,3.31
Asia,130,3.26
Wyoming,105,2.64
Oregon,102,2.56
Virginia,78,1.96
Nevada,75,1.88
Illinois,57,1.43
Utah,47,1.18
Hawaii,35,0.88
Arizona,31,0.78
Minnesota,30,0.75
U.S. Island Areas,28,0.7
Oklahoma,28,0.7
Missouri,26,0.65
Pennsylvania,24,0.6
South Carolina,24,0.6
Kentucky,21,0.53
Indiana,21,0.53
South Dakota,15,0.38
Nebraska,14,0.35
New Jersey,13,0.33
Alabama,9,0.23
Wisconsin,8,0.2
North Carolina,7,0.18
District of Columbia,7,0.18
Massachusetts,5,0.13
Mississippi,4,0.1
Kansas,4,0.1
Ohio,2,0.05
Northern America,2,0.05
Iowa,1,0.03
