originState,inboundFromState,pctOfTotal
Washington,384,18.07
Colorado,219,10.31
California,218,10.26
Idaho,202,9.51
Oregon,155,7.29
Wisconsin,154,7.25
Florida,137,6.45
Europe,90,4.24
Nevada,73,3.44
Illinois,55,2.59
Arizona,47,2.21
New Mexico,41,1.93
Texas,36,1.69
South Dakota,31,1.46
West Virginia,31,1.46
Minnesota,28,1.32
Asia,27,1.27
Utah,19,0.89
Vermont,18,0.85
South America,18,0.85
Michigan,17,0.8
Tennessee,16,0.75
Alabama,15,0.71
Pennsylvania,12,0.56
Virginia,12,0.56
Maryland,12,0.56
South Carolina,11,0.52
New York,10,0.47
Missouri,10,0.47
Massachusetts,9,0.42
Wyoming,9,0.42
Georgia,6,0.28
Central America,3,0.14
