originState,inboundFromState,pctOfTotal
Montana,2325,36.86
North Dakota,455,7.21
Texas,384,6.09
Washington,306,4.85
Florida,267,4.23
California,261,4.14
Alaska,233,3.69
New York,220,3.49
Louisiana,186,2.95
Idaho,163,2.58
Colorado,150,2.38
New Mexico,138,2.19
Georgia,135,2.14
Europe,132,2.09
Asia,130,2.06
Wyoming,105,1.66
Oregon,102,1.62
Virginia,78,1.24
Nevada,75,1.19
Illinois,57,0.9
Utah,47,0.75
Hawaii,35,0.55
Arizona,31,0.49
Minnesota,30,0.48
Oklahoma,28,0.44
U.S. Island Areas,28,0.44
Missouri,26,0.41
Pennsylvania,24,0.38
South Carolina,24,0.38
Kentucky,21,0.33
Indiana,21,0.33
South Dakota,15,0.24
Nebraska,14,0.22
New Jersey,13,0.21
Alabama,9,0.14
Wisconsin,8,0.13
North Carolina,7,0.11
District of Columbia,7,0.11
Massachusetts,5,0.08
Mississippi,4,0.06
Kansas,4,0.06
Ohio,2,0.03
Northern America,2,0.03
Iowa,1,0.02
