originState,inboundFromState,pctOfTotal
Montana,1778,29.65
Washington,824,13.74
California,536,8.94
Texas,262,4.37
Minnesota,220,3.67
Wyoming,219,3.65
Oregon,217,3.62
Illinois,193,3.22
Florida,191,3.19
Alabama,161,2.69
Ohio,119,1.98
Nevada,106,1.77
Alaska,101,1.68
Arizona,99,1.65
Colorado,95,1.58
Idaho,90,1.5
New Jersey,86,1.43
Europe,84,1.4
Georgia,83,1.38
Wisconsin,78,1.3
Louisiana,68,1.13
Utah,60,1.0
Asia,50,0.83
Northern America,44,0.73
North Dakota,42,0.7
Virginia,39,0.65
Indiana,38,0.63
New York,34,0.57
Hawaii,18,0.3
South Dakota,13,0.22
Vermont,10,0.17
Pennsylvania,10,0.17
Africa,8,0.13
Tennessee,7,0.12
Michigan,7,0.12
Oceania and At Sea,6,0.1
