originState,inboundFromState,pctOfTotal
Montana,2843,23.9
Colorado,1430,12.02
California,941,7.91
Nebraska,754,6.34
Minnesota,692,5.82
Florida,558,4.69
Washington,544,4.57
Europe,319,2.68
North Dakota,301,2.53
Wisconsin,257,2.16
Idaho,253,2.13
Oregon,250,2.1
Wyoming,223,1.87
Texas,189,1.59
Massachusetts,184,1.55
Arizona,181,1.52
Utah,150,1.26
Michigan,130,1.09
Tennessee,121,1.02
Central America,120,1.01
Missouri,115,0.97
Oceania and At Sea,112,0.94
Asia,105,0.88
North Carolina,104,0.87
Alaska,103,0.87
Illinois,87,0.73
South Carolina,81,0.68
Nevada,79,0.66
Pennsylvania,68,0.57
Georgia,63,0.53
New York,55,0.46
Ohio,53,0.45
South America,52,0.44
New Mexico,49,0.41
Alabama,47,0.4
Louisiana,45,0.38
Kansas,39,0.33
New Jersey,31,0.26
Indiana,30,0.25
Mississippi,25,0.21
South Dakota,21,0.18
Africa,18,0.15
New Hampshire,17,0.14
Vermont,15,0.13
Hawaii,15,0.13
Virginia,10,0.08
Maryland,6,0.05
Iowa,5,0.04
Northern America,5,0.04
Oklahoma,2,0.02
