originState,inboundFromState,pctOfTotal
Montana,2037,48.94
Washington,384,9.23
Colorado,219,5.26
California,218,5.24
Idaho,202,4.85
Oregon,155,3.72
Wisconsin,154,3.7
Florida,137,3.29
Europe,90,2.16
Nevada,73,1.75
Illinois,55,1.32
Arizona,47,1.13
New Mexico,41,0.99
Texas,36,0.86
South Dakota,31,0.74
West Virginia,31,0.74
Minnesota,28,0.67
Asia,27,0.65
Utah,19,0.46
Vermont,18,0.43
South America,18,0.43
Michigan,17,0.41
Tennessee,16,0.38
Alabama,15,0.36
Pennsylvania,12,0.29
Virginia,12,0.29
Maryland,12,0.29
South Carolina,11,0.26
New York,10,0.24
Missouri,10,0.24
Massachusetts,9,0.22
Wyoming,9,0.22
Georgia,6,0.14
Central America,3,0.07
