originState,inboundFromState,pctOfTotal
Montana,1194,38.4
California,627,20.17
Colorado,224,7.2
South Carolina,164,5.28
Washington,120,3.86
New Mexico,92,2.96
Pennsylvania,87,2.8
Illinois,84,2.7
Oregon,77,2.48
Oklahoma,59,1.9
Utah,55,1.77
Alaska,51,1.64
Arizona,37,1.19
North Carolina,34,1.09
Asia,31,1.0
Idaho,25,0.8
Europe,24,0.77
Nevada,24,0.77
New York,23,0.74
Northern America,21,0.68
Indiana,17,0.55
Georgia,14,0.45
Texas,11,0.35
South Dakota,10,0.32
Arkansas,2,0.06
Wisconsin,1,0.03
Alabama,1,0.03
